"2024-04-15 16:11:49 [main] INFO  c.r.p.c.ConvertRiteApiApplication - Starting ConvertRiteApiApplication using Java 21.0.2 on DESKTOP-4VEA2I6 with PID 13044 (D:\code core latest\ConvertRite.CoreService\target\classes started by ThirumalaBoya in D:\code core latest\ConvertRite.CoreService)
""2024-04-15 16:11:49 [main] INFO  c.r.p.c.ConvertRiteApiApplication - The following profiles are active: test
""2024-04-15 16:11:51 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
""2024-04-15 16:11:51 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 38 ms. Found 1 JPA repository interfaces.
""2024-04-15 16:11:51 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
""2024-04-15 16:11:51 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 2 ms. Found 0 JPA repository interfaces.
""2024-04-15 16:11:51 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
""2024-04-15 16:11:51 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 387 ms. Found 106 JPA repository interfaces.
""2024-04-15 16:11:52 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'asyncConfig' of type [com.rite.products.convertrite.multitenancy.async.AsyncConfig$$EnhancerBySpringCGLIB$$fb712434] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2024-04-15 16:11:53 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9000 (http)
""2024-04-15 16:11:53 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2024-04-15 16:11:53 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.53]
""2024-04-15 16:11:54 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2024-04-15 16:11:54 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4381 ms
""2024-04-15 16:11:54 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: master-persistence-unit]
""2024-04-15 16:11:54 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.32.Final
""2024-04-15 16:11:54 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
